"Ship"	"Beard"
"1"	"Fearless Snake"	17
"2"	"Nervous Goat"	41.1
"3"	"Nervous Goat"	0
"4"	"Nervous Goat"	40.8
"5"	"Angry Badger"	19.8
"6"	"Angry Badger"	32.5
"7"	"Nervous Goat"	0
"8"	"Nervous Goat"	38.6
"9"	"Nervous Goat"	1
"10"	"Fearless Snake"	21.9
"11"	"Fearless Snake"	20.4
"12"	"Nervous Goat"	0
"13"	"Angry Badger"	19.7
"14"	"Fearless Snake"	16.4
"15"	"Fearless Snake"	20.6
"16"	"Nervous Goat"	0
"17"	"Fearless Snake"	19.4
"18"	"Nervous Goat"	40.2
"19"	"Angry Badger"	27.4
"20"	"Angry Badger"	26.1
"21"	"Angry Badger"	15.8
"22"	"Angry Badger"	20.1
"23"	"Angry Badger"	21.9
"24"	"Fearless Snake"	15
"25"	"Nervous Goat"	1
"26"	"Fearless Snake"	18.9
"27"	"Fearless Snake"	20.8
"28"	"Nervous Goat"	40.6
"29"	"Angry Badger"	22.2
"30"	"Nervous Goat"	1
"31"	"Angry Badger"	21.5
"32"	"Fearless Snake"	22.7
"33"	"Nervous Goat"	41.3
"34"	"Nervous Goat"	1
"35"	"Nervous Goat"	1
"36"	"Fearless Snake"	15.5
"37"	"Angry Badger"	26.1
"38"	"Angry Badger"	26.3
"39"	"Fearless Snake"	17.2
"40"	"Nervous Goat"	40.6
"41"	"Angry Badger"	13.6
"42"	"Angry Badger"	21.8
"43"	"Fearless Snake"	20.7
"44"	"Fearless Snake"	14.5
"45"	"Angry Badger"	27
"46"	"Nervous Goat"	38.5
"47"	"Nervous Goat"	1
"48"	"Fearless Snake"	12.3
"49"	"Nervous Goat"	0
"50"	"Nervous Goat"	36.2
"51"	"Fearless Snake"	24.4
"52"	"Angry Badger"	20.9
"53"	"Angry Badger"	21.8
"54"	"Fearless Snake"	23.5
"55"	"Angry Badger"	27.1
"56"	"Fearless Snake"	20.9
"57"	"Angry Badger"	21.1
"58"	"Fearless Snake"	17.3
"59"	"Nervous Goat"	39.3
"60"	"Fearless Snake"	19.8
"61"	"Nervous Goat"	4
"62"	"Nervous Goat"	36.3
"63"	"Angry Badger"	20.9
"64"	"Fearless Snake"	20.1
"65"	"Nervous Goat"	33.8
"66"	"Fearless Snake"	13.8
"67"	"Nervous Goat"	38.9
"68"	"Angry Badger"	20.1
"69"	"Nervous Goat"	41.8
"70"	"Nervous Goat"	45.9
"71"	"Angry Badger"	17.4
"72"	"Nervous Goat"	35.6
"73"	"Fearless Snake"	18
"74"	"Fearless Snake"	19.5
"75"	"Angry Badger"	18.7
"76"	"Nervous Goat"	38.7
"77"	"Nervous Goat"	0
"78"	"Nervous Goat"	2
"79"	"Fearless Snake"	17.7
"80"	"Angry Badger"	28.5
"81"	"Nervous Goat"	38.6
"82"	"Nervous Goat"	41.9
"83"	"Angry Badger"	16.5
"84"	"Angry Badger"	20
"85"	"Fearless Snake"	16.5
"86"	"Angry Badger"	19.9
"87"	"Fearless Snake"	24.5
"88"	"Angry Badger"	26.8
"89"	"Nervous Goat"	3
"90"	"Nervous Goat"	1
"91"	"Fearless Snake"	17.7
"92"	"Fearless Snake"	17.9
"93"	"Fearless Snake"	21
"94"	"Nervous Goat"	0
"95"	"Nervous Goat"	2
"96"	"Nervous Goat"	39.4
"97"	"Nervous Goat"	32.2
"98"	"Angry Badger"	21.1
"99"	"Fearless Snake"	19.6
"100"	"Angry Badger"	14.7
"101"	"Fearless Snake"	17.7
"102"	"Nervous Goat"	0
"103"	"Nervous Goat"	37.6
"104"	"Angry Badger"	28.7
"105"	"Nervous Goat"	1
"106"	"Angry Badger"	23.3
"107"	"Angry Badger"	22.5
"108"	"Angry Badger"	24
"109"	"Angry Badger"	16.2
"110"	"Fearless Snake"	17.4
"111"	"Nervous Goat"	0
"112"	"Nervous Goat"	2
"113"	"Fearless Snake"	21.4
"114"	"Fearless Snake"	17.5
"115"	"Fearless Snake"	22.7
"116"	"Fearless Snake"	19.4
"117"	"Nervous Goat"	38.4
"118"	"Fearless Snake"	17.9
"119"	"Angry Badger"	21.8
"120"	"Fearless Snake"	16.1
"121"	"Angry Badger"	17.3
"122"	"Angry Badger"	27.1
"123"	"Angry Badger"	31.4
"124"	"Fearless Snake"	17.8
"125"	"Angry Badger"	25.5
"126"	"Fearless Snake"	20.1
"127"	"Nervous Goat"	3
"128"	"Angry Badger"	26
"129"	"Angry Badger"	14.3
"130"	"Fearless Snake"	17.4
"131"	"Fearless Snake"	24.4
"132"	"Angry Badger"	21.9
"133"	"Fearless Snake"	17.5
"134"	"Fearless Snake"	17.9
"135"	"Fearless Snake"	19.4
"136"	"Fearless Snake"	19.3
"137"	"Nervous Goat"	0
"138"	"Angry Badger"	22.3
"139"	"Angry Badger"	27.1
"140"	"Angry Badger"	25.8
"141"	"Angry Badger"	21.2
"142"	"Nervous Goat"	40.8
"143"	"Nervous Goat"	1
"144"	"Angry Badger"	25.6
"145"	"Nervous Goat"	39.9
"146"	"Angry Badger"	26.4
"147"	"Fearless Snake"	19.8
"148"	"Fearless Snake"	25.6
"149"	"Fearless Snake"	19.5
"150"	"Angry Badger"	25.7
