"drink"	"cups"	"gender"	"age"	"score"
"1"	"greentea"	1	"male"	24	25.17
"2"	"coffee"	1	"female"	20	18.27
"3"	"greentea"	1	"male"	26	19.91
"4"	"coffee"	1	"female"	31	9.88
"5"	"greentea"	1	"male"	18	21.25
"6"	"coffee"	1	"female"	28	8.31
"7"	"greentea"	1	"male"	21	19.43
"8"	"coffee"	1	"male"	30	9.51
"9"	"greentea"	1	"male"	29	21.32
"10"	"coffee"	1	"female"	22	10.69
"11"	"greentea"	1	"male"	24	18.79
"12"	"coffee"	1	"male"	25	10.3
"13"	"greentea"	1	"male"	24	19.11
"14"	"coffee"	1	"male"	33	13.97
"15"	"greentea"	1	"female"	25	20.03
"16"	"coffee"	1	"female"	23	6.85
"17"	"greentea"	1	"female"	27	18.74
"18"	"coffee"	1	"female"	26	6.55
"19"	"greentea"	1	"male"	25	21.01
"20"	"coffee"	1	"female"	25	14.23
"21"	"greentea"	1	"male"	26	23.16
"22"	"coffee"	1	"male"	22	11.01
"23"	"greentea"	1	"female"	22	19.54
"24"	"coffee"	1	"female"	30	11.45
"25"	"greentea"	1	"female"	19	19.73
"26"	"coffee"	1	"male"	25	-0.21
"27"	"greentea"	1	"female"	22	21.79
"28"	"coffee"	1	"male"	26	8.14
"29"	"greentea"	1	"female"	28	26.34
"30"	"coffee"	1	"female"	19	20.84
"31"	"greentea"	1	"male"	28	13.8
"32"	"coffee"	1	"male"	25	12.95
"33"	"greentea"	1	"female"	21	20.62
"34"	"coffee"	1	"female"	19	7.38
"35"	"greentea"	1	"male"	27	23.1
"36"	"coffee"	1	"female"	25	13.54
"37"	"greentea"	1	"female"	26	19.53
"38"	"coffee"	1	"female"	27	8.52
"39"	"greentea"	1	"female"	30	14.57
"40"	"coffee"	1	"female"	25	6.88
"41"	"greentea"	1	"male"	23	18.83
"42"	"coffee"	1	"female"	29	8.75
"43"	"greentea"	1	"female"	22	24.77
"44"	"coffee"	1	"female"	22	8.67
"45"	"greentea"	1	"female"	23	29.48
"46"	"coffee"	1	"female"	32	7.85
"47"	"greentea"	1	"female"	23	27.88
"48"	"coffee"	1	"male"	26	10.81
"49"	"greentea"	1	"male"	21	14.57
"50"	"coffee"	1	"male"	21	12.88
"51"	"greentea"	5	"male"	24	40.14
"52"	"coffee"	5	"female"	29	58.22
"53"	"greentea"	5	"male"	24	44.26
"54"	"coffee"	5	"male"	28	62.57
"55"	"greentea"	5	"female"	21	45.09
"56"	"coffee"	5	"male"	24	54.89
"57"	"greentea"	5	"male"	23	37.19
"58"	"coffee"	5	"male"	24	54.94
"59"	"greentea"	5	"male"	29	24.9
"60"	"coffee"	5	"male"	25	61.66
"61"	"greentea"	5	"male"	26	46.2
"62"	"coffee"	5	"female"	26	63.36
"63"	"greentea"	5	"male"	23	33.35
"64"	"coffee"	5	"male"	21	55.75
"65"	"greentea"	5	"female"	24	31.06
"66"	"coffee"	5	"male"	25	66.16
"67"	"greentea"	5	"female"	28	38.33
"68"	"coffee"	5	"male"	24	55.16
"69"	"greentea"	5	"male"	24	44.4
"70"	"coffee"	5	"female"	30	58.73
"71"	"greentea"	5	"female"	23	32.41
"72"	"coffee"	5	"female"	26	59.88
"73"	"greentea"	5	"female"	23	40.13
"74"	"coffee"	5	"male"	26	60.82
"75"	"greentea"	5	"female"	20	42.05
"76"	"coffee"	5	"male"	23	56.86
"77"	"greentea"	5	"male"	24	43.18
"78"	"coffee"	5	"female"	28	53.99
"79"	"greentea"	5	"male"	24	46.73
"80"	"coffee"	5	"female"	26	57.01
"81"	"greentea"	5	"male"	24	42.21
"82"	"coffee"	5	"female"	22	63.07
"83"	"greentea"	5	"male"	27	38.5
"84"	"coffee"	5	"male"	24	52
"85"	"greentea"	5	"male"	29	38.3
"86"	"coffee"	5	"male"	26	57.09
"87"	"greentea"	5	"male"	25	38.05
"88"	"coffee"	5	"female"	26	64.23
"89"	"greentea"	5	"female"	25	43.42
"90"	"coffee"	5	"male"	26	61.19
"91"	"greentea"	5	"female"	24	36.45
"92"	"coffee"	5	"female"	19	73.07
"93"	"greentea"	5	"male"	25	31.87
"94"	"coffee"	5	"female"	27	51.96
"95"	"greentea"	5	"female"	22	41.7
"96"	"coffee"	5	"female"	22	73.64
"97"	"greentea"	5	"female"	24	38.36
"98"	"coffee"	5	"female"	23	53.72
"99"	"greentea"	5	"male"	26	37.84
"100"	"coffee"	5	"male"	25	72.74
